feature,importance
cat__마명_미스터카라,0
cat__마명_벽송,0
cat__마명_벨록스보이,0
cat__마명_벨로테로,0
cat__마명_베트캡틴,0
cat__마명_베스트피치,0
cat__마명_베스트프리덤,0
cat__마명_베스트토르,0
cat__마명_베스트천하,0
cat__마명_베스트조이,0
cat__마명_베스트에이원,0
cat__마명_베스트어베인,0
cat__마명_베스트선,0
cat__마명_베스트레이스,0
cat__마명_베스트라지,0
cat__마명_베스트드림,0
cat__마명_벌교차돌,0
cat__마명_브라이트카이,0
cat__마명_브라운슈거,0
cat__마명_브라운골드,0
cat__마명_브라보플레이,0
cat__마명_뷰티풀화성,0
cat__마명_붉은폭풍,0
cat__마명_붉은태양,0
cat__마명_불타는심장,0
cat__마명_불의세계,0
cat__마명_불국시대,0
cat__마명_불곰마드레,0
cat__마명_분당쓰나미,0
cat__마명_봉화스테이,0
cat__마명_볼린,0
cat__마명_보스토크,0
cat__마명_별콩,0
cat__마명_블루레인,0
cat__마명_블루레몬,0
cat__마명_블루드래곤,0
cat__마명_블루넬로,0
cat__마명_블러싱로즈,0
cat__마명_블러드마운틴,0
cat__마명_블랙페페,0
cat__마명_블랙시대,0
cat__마명_블랙스펙터,0
cat__마명_블랙선,0
cat__마명_블랙사탕,0
cat__마명_블랙벨트,0
cat__마명_블랙머스크,0
cat__마명_블랙러시안,0
cat__마명_브리도트로피,0
cat__마명_브리도시리스,0
cat__마명_빅블레드,0
cat__마명_비트도깨비,0
cat__마명_비케이준,0
cat__마명_비케이비바체,0
cat__마명_비케이러브,0
cat__마명_비케이데블,0
cat__마명_비카드래곤,0
cat__마명_비전파워,0
cat__마명_비에스스톰,0
cat__마명_비상벨,0
cat__마명_비상데이,0
cat__마명_비바청수,0
cat__마명_블리스스타,0
cat__마명_블루피오라,0
cat__마명_블루선,0
cat__마명_새내타운,0
cat__마명_새내라니아,0
cat__마명_삼정레이디,0
cat__마명_사하라몬드,0
cat__마명_사하라로즈,0
cat__마명_사탕소녀,0
cat__마명_사이클론스타,0
cat__마명_사바나찰리,0
cat__마명_사바나건,0
cat__마명_빛의순간,0
cat__마명_빌리언보이,0
cat__마명_빈체로킹,0
cat__마명_빈체로큐,0
cat__마명_빈체로카발로,0
cat__마명_빅토리퀸,0
cat__마명_빅스고,0
cat__마명_선더런,0
cat__마명_선더드림,0
cat__마명_서클에이,0
cat__마명_서울탱크,0
cat__마명_서울불청객,0
cat__마명_서울돌풍,0
cat__마명_서브미션,0
cat__마명_서부특송,0
cat__마명_서부챔프,0
cat__마명_서머파티,0
cat__마명_서니로드,0
cat__마명_샤크텐,0
cat__마명_새파랑,0
cat__마명_새로운가이,0
cat__마명_새내파이터,0
cat__마명_세븐카이저,0
cat__마명_세명피크,0
cat__마명_세명스트롱,0
cat__마명_세명다이아,0
cat__마명_세라드,0
cat__마명_세광파이터,0
cat__마명_세광질주,0
cat__마명_성실대로,0
cat__마명_섬싱로스트,0
cat__마명_섬싱다크,0
cat__마명_섬돌모루,0
cat__마명_선더파이어,0
cat__마명_선더여걸,0
cat__마명_선더에이원,0
cat__마명_선더스톰,0
cat__마명_선더마블,0
cat__마명_슈퍼엑톤,0
cat__마명_슈퍼선더,0
cat__마명_슈퍼블루문,0
cat__마명_슈어윈,0
cat__마명_슈어니스,0
cat__마명_수향미인,0
cat__마명_수부타이,0
cat__마명_송암스카이,0
cat__마명_송암드래건,0
cat__마명_송당황태자,0
cat__마명_손에손잡고,0
cat__마명_소프트파워,0
cat__마명_소울비트,0
cat__마명_세인트위너,0
cat__마명_세인트루카,0
cat__마명_세인트러너,0
cat__마명_스터닝머니,0
cat__마명_스터닝레이디,0
cat__마명_스타트렉,0
cat__마명_스케일킹,0
cat__마명_스위트송,0
cat__마명_스마트해성,0
cat__마명_스마트테이크,0
