feature,importance
cat__마명_이클립스에지,0
cat__마명_이클립스탱고,0
cat__마명_인피니트아너,0
cat__마명_임로,0
cat__마명_자이언트보스,0
cat__마명_자이언트스텝,0
cat__마명_자체발광,0
cat__마명_장비대운,0
cat__마명_정상에이스,0
cat__마명_정성바이스,0
cat__마명_제라퀸,0
cat__마명_제이디강자,0
cat__마명_제이에스로드,0
cat__마명_제이원파워,0
cat__마명_조이천하,0
cat__마명_주링스카이,0
cat__마명_주몽천하,0
cat__마명_준마포스,0
cat__마명_즐거운상상,0
cat__마명_지산포스,0
cat__마명_지산프렌드,0
cat__마명_지존불패,0
cat__마명_질풍아,0
cat__마명_차밍퀸,0
cat__마명_찬란한불꽃,0
cat__마명_찬페이머스,0
cat__마명_참빠른말,0
cat__마명_참좋은질주,0
cat__마명_창조의아침,0
cat__마명_창창삭스,0
cat__마명_챌린지삭스,0
cat__마명_천공의섬,0
cat__마명_천궁스톰,0
cat__마명_천마포스,0
cat__마명_천마호령,0
cat__마명_천장사,0
cat__마명_천지레이디,0
cat__마명_천지자칼,0
cat__마명_천행챗,0
cat__마명_청룡기운,0
cat__마명_청룡의칼,0
cat__마명_청산돌풍,0
cat__마명_청산질주,0
cat__마명_청해스타,0
cat__마명_초월마,0
cat__마명_초콜릿,0
cat__마명_최강골드,0
cat__마명_최강스피드,0
cat__마명_최고게임,0
cat__마명_최고블랙,0
cat__마명_추풍령,0
cat__마명_축배를들어라,0
cat__마명_춤추는장미,0
cat__마명_치프스타,0
cat__마명_카라케이,0
cat__마명_카스,0
cat__마명_카우보이탱고,0
cat__마명_카일리,0
cat__마명_칸맥스,0
cat__마명_캄인스톰,0
cat__마명_캐롤챗,0
cat__마명_캔버스엔고,0
cat__마명_캠프데이비드,0
cat__마명_캡틴군주,0
cat__마명_캡틴라이즈,0
cat__마명_캡틴타임,0
cat__마명_캡틴피케이,0
cat__마명_커맨딩리드,0
cat__마명_컴플리트레벨,0
cat__마명_컴플리트리더,0
cat__마명_컴플리트밸류,0
cat__마명_컴플리트브로,0
cat__마명_컴플리트스텝,0
cat__마명_컴플리트터치,0
cat__마명_컴플리트파티,0
cat__마명_컴플리트하트,0
cat__마명_케레르,0
cat__마명_케렌시아,0
cat__마명_케이사이먼,0
cat__마명_케이엔라이트,0
cat__마명_케이엔스톰,0
cat__마명_케이파워풀,0
cat__마명_코스모런,0
cat__마명_코탑,0
cat__마명_콜긴,0
cat__마명_콩나물,0
