birthday,chaksunT,faHrName,faHrNo,hrLastAmt,hrName,hrNo,meet,moHrName,moHrNo,name,ord1CntT,ord1CntY,ord2CntT,ord2CntY,ord3CntT,ord3CntY,owName,owNo,rank,rating,rcCntT,rcCntY,sex,trName,trNo
20240301,0,HIGHLY MOTIVATED,6149805,"112,850천원(개별)",관악산호프,0061456,서울,NANCY G.,6982210,미국,0,0,0,0,0,0,손병석,123009,외미검,0,0,0,수,이준철,070197
20230323,1800000,언캡처드,0044993,"30,000천원(개별)",구름,0053340,서울,시라이트,0040169,한국,0,0,0,0,0,0,(주)쎄쎄쎄,124017,국6,0,4,4,암,이동국,070247
20210330,168100000,프리덤차일드,0045049,"35,000천원(개별)",국대파이터,0047079,서울,쾌도신화,0033198,한국,4,0,2,0,2,1,임한용,121021,국3,0,19,7,수,최봉주,070152
20230402,0,피스룰즈,0025790,"38,000천원(개별)",군주민수,0054214,서울,북새명가,0030926,한국,0,0,0,0,0,0,이관형,105163,국미검,0,0,0,거,성상현,070289
20230320,86250000,프리덤차일드,0045049,"50,000천원(개별)",굿모닝컴,0053074,서울,오버파워,0026041,한국,2,2,2,2,1,1,이관형,105163,국4,0,9,9,수,박재우,070164
20230321,0,위드디스팅션,0040086,수증,굿잡,0053200,서울,샴페인파티,0037460,한국,0,0,0,0,0,0,최장석,104060,국미검,0,0,0,거,이준철,070197
20220501,70050000,GOOD SAMARITAN,6115212,"64,838천원(개별)",굿최강,0056400,서울,SUMMER CHANT,6107993,미국,1,0,2,1,0,0,김지훈,104012,외4,0,9,6,거,박윤규,070117
20200330,113400000,카우보이칼,0038391,"45,000천원(경매)",굿카보,0045852,서울,해피댄서,0029148,한국,3,0,2,1,0,0,김지훈,104012,국4,0,26,9,거,박윤규,070117
20220404,42150000,미스터크로우,0041813,수증,굿프렌드,0050935,서울,새로운리더,0022298,한국,0,0,2,2,4,3,말사모,116058,국5,0,21,16,암,안병기,070146
20210208,132750000,CLOUD COMPUTING,6126349,"59,603천원(개별)",굿해피,0052505,서울,THUNDERING GALE,6113242,미국,2,1,2,1,1,0,김지훈,104012,외3,0,26,11,거,박윤규,070117
20220226,149850000,선더모카신,0033119,수증,그냥가라,0051692,서울,해피공주,0035462,한국,3,1,0,0,6,6,페가수스,065127,국4,0,19,12,암,휴양마,0AAAAA
20230210,250250000,TACITUS,6126922,"163,040천원(개별)",그대만있다면,0060347,서울,ANNIES LAW,6113446,미국,4,4,1,1,0,0,우태율,111006,외2,0,5,5,수,휴양마,0AAAAA
20230223,0,프리덤차일드,0045049,"24,000천원(개별)",그라시아스,0053057,서울,라온콘도르,0036050,한국,0,0,0,0,0,0,태강,124042,국6,0,1,1,암,휴양마,0AAAAA
20230227,0,지롤라모,0040246,"40,000천원(개별)",그라운드매직,0053432,서울,카밀라,0026046,한국,0,0,0,0,0,0,퍼플라인,121053,국미검,0,0,0,암,휴양마,0AAAAA
20240430,0,KANTHAROS,6965458,"91,980천원(개별)",그랑파클래식,0061379,서울,YOURMAJESTYSCROWN,7000328,미국,0,0,0,0,0,0,김길리,125001,외4,0,0,0,수,이준철,070197
20200430,62950000,파워블레이드,0033566,수증,그래티튜드,0046161,서울,캐칭업,0041544,한국,0,0,3,1,5,4,일진코스메틱,030028,국5,0,43,21,암,이신우,070167
20220423,0,일루시브블러프,0043421,"50,000천원(개별)",그랜드골드,0051552,서울,골드,0030410,한국,0,0,0,0,0,0,김태성,113008,국6,0,3,3,수,심승태,070166
20230131,0,미스치비어슬리,0038245,자가생산,그랜드커리지,0053024,서울,그랜드카라반,0027150,한국,0,0,0,0,0,0,강종우,065110,국6,0,2,2,수,배휴준,070144
20220217,29700000,레이스데이,0046317,"130,000천원(개별)",그랜드쾌마,0051037,서울,그랜드마케팅,0034653,한국,0,0,1,1,3,2,박남성,010496,국5,0,10,8,수,송문길,070179
20220128,16650000,섀클포드,0045050,"80,000천원(경매)",그랜드파크,0050739,서울,그랜드카라반,0027150,한국,0,0,2,2,0,0,(주)디알엠씨티,114026,국5,0,13,10,수,송문길,070179
20240310,0,콩코드포인트,0038387,"10,000천원(개별)",그랜드폭풍,0055300,서울,그랜드특급,0026886,한국,0,0,0,0,0,0,박재범,104040,국미검,0,0,0,암,박재우,070164
